"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 09 08:45:33 GMT 2024","Mon Sep 09 08:45:34 GMT 2024","146","tests","test_subscription","TestSubscription","","","test_subscription_in_home_page","
        Test subscription in home page
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 08:43:18 GMT 2024","Mon Sep 09 08:43:21 GMT 2024","3537","tests","test_register_login","TestRegisterAndLogin","","","test_register_user","Test user registration
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Mon Sep 09 08:43:21 GMT 2024","Mon Sep 09 08:43:21 GMT 2024","0","tests","test_register_login","TestRegisterAndLogin","","","test_valid_login","
        Login user with correct email and password
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 08:45:39 GMT 2024","Mon Sep 09 08:45:40 GMT 2024","145","tests","test_test_cases","TestTestCases","","","test_test_cases","Proceed to test cases page
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Sep 09 08:42:44 GMT 2024","Mon Sep 09 08:42:45 GMT 2024","521","tests","test_cart","TestCart","","","test_product_quantity","
        Add product to cart
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 08:43:10 GMT 2024","Mon Sep 09 08:43:10 GMT 2024","521","tests","test_products","TestProducts","","","test_product_detail","
        Verify All Products and product detail page
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 08:45:36 GMT 2024","Mon Sep 09 08:45:37 GMT 2024","323","tests","test_subscription","TestSubscription","","","test_subscription_in_cart_page","
        Test subscription in home page
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 08:44:25 GMT 2024","Mon Sep 09 08:44:26 GMT 2024","406","tests","test_register_login","TestRegisterAndLogin","","","test_invalid_login","
        Login user with incorrect email and password
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 08:42:58 GMT 2024","Mon Sep 09 08:43:03 GMT 2024","5785","tests","test_checkout","TestCheckout","","","test_register_before_checkout","Test user registration before checkout
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Mon Sep 09 08:44:26 GMT 2024","Mon Sep 09 08:44:26 GMT 2024","0","tests","test_register_login","TestRegisterAndLogin","","","test_logout","
        Logout user
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 08:43:13 GMT 2024","Mon Sep 09 08:43:14 GMT 2024","858","tests","test_products","TestProducts","","","test_product_search","
        Search for product
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 08:42:49 GMT 2024","Mon Sep 09 08:42:55 GMT 2024","5815","tests","test_checkout","TestCheckout","","","test_register_while_checkout","Test user registration while checkout
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Sep 09 08:45:30 GMT 2024","Mon Sep 09 08:45:30 GMT 2024","386","tests","test_register_login","TestRegisterAndLogin","","","test_register_user_with_existing_email","Test user registration with existing email
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Sep 09 08:42:40 GMT 2024","Mon Sep 09 08:42:41 GMT 2024","1049","tests","test_cart","TestCart","","","test_add_product","
        Add product to cart
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 08:43:06 GMT 2024","Mon Sep 09 08:43:07 GMT 2024","574","tests","test_contuct_us","TestContactUs","","","test_contact_us_form","
        Test contact us form
        :param test_setup: setting up the browser and page objects
        :return:
        "
