"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 09 08:23:55 GMT 2024","Mon Sep 09 08:23:56 GMT 2024","734","tests","test_cart","TestCart","","","test_product_quantity","
        Add product to cart
        :param test_setup: setting up the browser and page objects
        :return:
        "
"broken","Mon Sep 09 08:27:39 GMT 2024","Mon Sep 09 08:27:39 GMT 2024","0","tests","test_subscription","TestSubscription","","","test_subscription_in_home_page","
        Test subscription in home page
        :param test_setup: setting up the browser and page objects
        :return:
        "
"broken","Mon Sep 09 08:25:12 GMT 2024","Mon Sep 09 08:25:12 GMT 2024","0","tests","test_products","TestProducts","","","test_product_detail","
        Verify All Products and product detail page
        :param test_setup: setting up the browser and page objects
        :return:
        "
"broken","Mon Sep 09 08:23:56 GMT 2024","Mon Sep 09 08:23:56 GMT 2024","0","tests","test_checkout","TestCheckout","","","test_register_while_checkout","Test user registration while checkout
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Sep 09 08:26:33 GMT 2024","Mon Sep 09 08:26:33 GMT 2024","490","tests","test_register_login","TestRegisterAndLogin","","","test_invalid_login","
        Login user with incorrect email and password
        :param test_setup: setting up the browser and page objects
        :return:
        "
"broken","Mon Sep 09 08:26:38 GMT 2024","Mon Sep 09 08:26:38 GMT 2024","0","tests","test_register_login","TestRegisterAndLogin","","","test_register_user_with_existing_email","Test user registration with existing email
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Sep 09 08:25:00 GMT 2024","Mon Sep 09 08:25:08 GMT 2024","7642","tests","test_checkout","TestCheckout","","","test_register_before_checkout","Test user registration before checkout
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Sep 09 08:25:11 GMT 2024","Mon Sep 09 08:25:12 GMT 2024","767","tests","test_contuct_us","TestContactUs","","","test_contact_us_form","
        Test contact us form
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 08:26:17 GMT 2024","Mon Sep 09 08:26:18 GMT 2024","1009","tests","test_products","TestProducts","","","test_product_search","
        Search for product
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 08:26:29 GMT 2024","Mon Sep 09 08:26:29 GMT 2024","713","tests","test_register_login","TestRegisterAndLogin","","","test_valid_login","
        Login user with correct email and password
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 08:23:49 GMT 2024","Mon Sep 09 08:23:51 GMT 2024","1431","tests","test_cart","TestCart","","","test_add_product","
        Add product to cart
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 08:28:44 GMT 2024","Mon Sep 09 08:28:44 GMT 2024","350","tests","test_subscription","TestSubscription","","","test_subscription_in_cart_page","
        Test subscription in home page
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 08:28:48 GMT 2024","Mon Sep 09 08:28:48 GMT 2024","181","tests","test_test_cases","TestTestCases","","","test_test_cases","Proceed to test cases page
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Sep 09 08:26:22 GMT 2024","Mon Sep 09 08:26:26 GMT 2024","3951","tests","test_register_login","TestRegisterAndLogin","","","test_register_user","Test user registration
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Sep 09 08:26:36 GMT 2024","Mon Sep 09 08:26:38 GMT 2024","1356","tests","test_register_login","TestRegisterAndLogin","","","test_logout","
        Logout user
        :param test_setup: setting up the browser and page objects
        :return:
        "
