"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 17 12:58:58 GMT 2024","Tue Sep 17 12:58:59 GMT 2024","668","tests","test_products","TestProducts","","","test_product_detail","
        Verify All Products and product detail page
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Tue Sep 17 13:01:22 GMT 2024","Tue Sep 17 13:01:22 GMT 2024","377","tests","test_subscription","TestSubscription","","","test_subscription_in_cart_page","
        Test subscription in home page
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Tue Sep 17 12:59:11 GMT 2024","Tue Sep 17 12:59:12 GMT 2024","746","tests","test_register_login","TestRegisterAndLogin","","","test_valid_login","
        Login user with correct email and password
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Tue Sep 17 12:58:45 GMT 2024","Tue Sep 17 12:58:52 GMT 2024","7332","tests","test_checkout","TestCheckout","","","test_register_before_checkout","Test user registration before checkout
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Sep 17 12:59:15 GMT 2024","Tue Sep 17 12:59:15 GMT 2024","505","tests","test_register_login","TestRegisterAndLogin","","","test_invalid_login","
        Login user with incorrect email and password
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Tue Sep 17 12:58:31 GMT 2024","Tue Sep 17 12:58:32 GMT 2024","737","tests","test_cart","TestCart","","","test_product_quantity","
        Add product to cart
        :param test_setup: setting up the browser and page objects
        :return:
        "
"broken","Tue Sep 17 13:00:19 GMT 2024","Tue Sep 17 13:00:19 GMT 2024","0","tests","test_subscription","TestSubscription","","","test_subscription_in_home_page","
        Test subscription in home page
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Tue Sep 17 12:58:55 GMT 2024","Tue Sep 17 12:58:56 GMT 2024","652","tests","test_contuct_us","TestContactUs","","","test_contact_us_form","
        Test contact us form
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Tue Sep 17 13:00:18 GMT 2024","Tue Sep 17 13:00:19 GMT 2024","497","tests","test_register_login","TestRegisterAndLogin","","","test_register_user_with_existing_email","Test user registration with existing email
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Sep 17 12:59:01 GMT 2024","Tue Sep 17 12:59:03 GMT 2024","1072","tests","test_products","TestProducts","","","test_product_search","
        Search for product
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Tue Sep 17 13:01:25 GMT 2024","Tue Sep 17 13:01:25 GMT 2024","166","tests","test_test_cases","TestTestCases","","","test_test_cases","Proceed to test cases page
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Tue Sep 17 12:59:15 GMT 2024","Tue Sep 17 12:59:15 GMT 2024","0","tests","test_register_login","TestRegisterAndLogin","","","test_logout","
        Logout user
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Tue Sep 17 12:59:05 GMT 2024","Tue Sep 17 12:59:09 GMT 2024","3376","tests","test_register_login","TestRegisterAndLogin","","","test_register_user","Test user registration
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Sep 17 12:58:27 GMT 2024","Tue Sep 17 12:58:29 GMT 2024","1296","tests","test_cart","TestCart","","","test_add_product","
        Add product to cart
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Tue Sep 17 12:58:36 GMT 2024","Tue Sep 17 12:58:42 GMT 2024","6742","tests","test_checkout","TestCheckout","","","test_register_while_checkout","Test user registration while checkout
        :param test_setup: setting up the browser and page objects
        :return: None
        "
