"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 09 09:09:09 GMT 2024","Mon Sep 09 09:09:10 GMT 2024","1259","tests","test_cart","TestCart","","","test_add_product","
        Add product to cart
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 09:10:14 GMT 2024","Mon Sep 09 09:10:15 GMT 2024","371","tests","test_subscription","TestSubscription","","","test_subscription_in_cart_page","
        Test subscription in home page
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 09:09:27 GMT 2024","Mon Sep 09 09:09:33 GMT 2024","6336","tests","test_checkout","TestCheckout","","","test_register_before_checkout","Test user registration before checkout
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Sep 09 09:10:18 GMT 2024","Mon Sep 09 09:10:18 GMT 2024","190","tests","test_test_cases","TestTestCases","","","test_test_cases","Proceed to test cases page
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"failed","Mon Sep 09 09:09:44 GMT 2024","Mon Sep 09 09:09:45 GMT 2024","1103","tests","test_products","TestProducts","","","test_product_search","
        Search for product
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 09:09:40 GMT 2024","Mon Sep 09 09:09:41 GMT 2024","664","tests","test_products","TestProducts","","","test_product_detail","
        Verify All Products and product detail page
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 09:09:13 GMT 2024","Mon Sep 09 09:09:14 GMT 2024","663","tests","test_cart","TestCart","","","test_product_quantity","
        Add product to cart
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 09:10:08 GMT 2024","Mon Sep 09 09:10:08 GMT 2024","493","tests","test_register_login","TestRegisterAndLogin","","","test_register_user_with_existing_email","Test user registration with existing email
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Sep 09 09:09:59 GMT 2024","Mon Sep 09 09:10:00 GMT 2024","503","tests","test_register_login","TestRegisterAndLogin","","","test_invalid_login","
        Login user with incorrect email and password
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 09:10:03 GMT 2024","Mon Sep 09 09:10:04 GMT 2024","1179","tests","test_register_login","TestRegisterAndLogin","","","test_logout","
        Logout user
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 09:09:36 GMT 2024","Mon Sep 09 09:09:37 GMT 2024","783","tests","test_contuct_us","TestContactUs","","","test_contact_us_form","
        Test contact us form
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 09:09:49 GMT 2024","Mon Sep 09 09:09:52 GMT 2024","3713","tests","test_register_login","TestRegisterAndLogin","","","test_register_user","Test user registration
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Sep 09 09:09:55 GMT 2024","Mon Sep 09 09:09:56 GMT 2024","731","tests","test_register_login","TestRegisterAndLogin","","","test_valid_login","
        Login user with correct email and password
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 09:10:11 GMT 2024","Mon Sep 09 09:10:11 GMT 2024","245","tests","test_subscription","TestSubscription","","","test_subscription_in_home_page","
        Test subscription in home page
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 09:09:17 GMT 2024","Mon Sep 09 09:09:24 GMT 2024","6503","tests","test_checkout","TestCheckout","","","test_register_while_checkout","Test user registration while checkout
        :param test_setup: setting up the browser and page objects
        :return: None
        "
