"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 09 09:17:23 GMT 2024","Mon Sep 09 09:17:23 GMT 2024","648","tests","test_products","TestProducts","","","test_product_detail","
        Verify All Products and product detail page
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 09:16:55 GMT 2024","Mon Sep 09 09:16:55 GMT 2024","652","tests","test_cart","TestCart","","","test_product_quantity","
        Add product to cart
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 09:16:59 GMT 2024","Mon Sep 09 09:17:06 GMT 2024","6757","tests","test_checkout","TestCheckout","","","test_register_while_checkout","Test user registration while checkout
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Sep 09 09:16:50 GMT 2024","Mon Sep 09 09:16:52 GMT 2024","1293","tests","test_cart","TestCart","","","test_add_product","
        Add product to cart
        :param test_setup: setting up the browser and page objects
        :return:
        "
"broken","Mon Sep 09 09:17:46 GMT 2024","Mon Sep 09 09:17:46 GMT 2024","0","tests","test_register_login","TestRegisterAndLogin","","","test_register_user_with_existing_email","Test user registration with existing email
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Sep 09 09:17:41 GMT 2024","Mon Sep 09 09:17:41 GMT 2024","458","tests","test_register_login","TestRegisterAndLogin","","","test_invalid_login","
        Login user with incorrect email and password
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 09:18:53 GMT 2024","Mon Sep 09 09:18:54 GMT 2024","333","tests","test_subscription","TestSubscription","","","test_subscription_in_cart_page","
        Test subscription in home page
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 09:18:57 GMT 2024","Mon Sep 09 09:18:57 GMT 2024","187","tests","test_test_cases","TestTestCases","","","test_test_cases","Proceed to test cases page
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Sep 09 09:17:30 GMT 2024","Mon Sep 09 09:17:34 GMT 2024","3676","tests","test_register_login","TestRegisterAndLogin","","","test_register_user","Test user registration
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Sep 09 09:17:44 GMT 2024","Mon Sep 09 09:17:46 GMT 2024","1146","tests","test_register_login","TestRegisterAndLogin","","","test_logout","
        Logout user
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 09:18:50 GMT 2024","Mon Sep 09 09:18:50 GMT 2024","248","tests","test_subscription","TestSubscription","","","test_subscription_in_home_page","
        Test subscription in home page
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 09:17:19 GMT 2024","Mon Sep 09 09:17:19 GMT 2024","832","tests","test_contuct_us","TestContactUs","","","test_contact_us_form","
        Test contact us form
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 09:17:37 GMT 2024","Mon Sep 09 09:17:38 GMT 2024","715","tests","test_register_login","TestRegisterAndLogin","","","test_valid_login","
        Login user with correct email and password
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 09:17:10 GMT 2024","Mon Sep 09 09:17:16 GMT 2024","6161","tests","test_checkout","TestCheckout","","","test_register_before_checkout","Test user registration before checkout
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Sep 09 09:17:26 GMT 2024","Mon Sep 09 09:17:27 GMT 2024","934","tests","test_products","TestProducts","","","test_product_search","
        Search for product
        :param test_setup: setting up the browser and page objects
        :return:
        "
