"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 09 07:46:27 GMT 2024","Mon Sep 09 07:46:27 GMT 2024","694","tests","test_products","TestProducts","","","test_product_detail","
        Verify All Products and product detail page
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 07:46:57 GMT 2024","Mon Sep 09 07:46:57 GMT 2024","215","tests","test_subscription","TestSubscription","","","test_subscription_in_home_page","
        Test subscription in home page
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 07:45:55 GMT 2024","Mon Sep 09 07:45:56 GMT 2024","1295","tests","test_cart","TestCart","","","test_add_product","
        Add product to cart
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 07:46:41 GMT 2024","Mon Sep 09 07:46:42 GMT 2024","717","tests","test_register_login","TestRegisterAndLogin","","","test_valid_login","
        Login user with correct email and password
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 07:47:03 GMT 2024","Mon Sep 09 07:47:04 GMT 2024","225","tests","test_test_cases","TestTestCases","","","test_test_cases","Proceed to test cases page
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Sep 09 07:46:45 GMT 2024","Mon Sep 09 07:46:45 GMT 2024","487","tests","test_register_login","TestRegisterAndLogin","","","test_invalid_login","
        Login user with incorrect email and password
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 07:46:04 GMT 2024","Mon Sep 09 07:46:11 GMT 2024","6677","tests","test_checkout","TestCheckout","","","test_register_while_checkout","Test user registration while checkout
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Sep 09 07:46:14 GMT 2024","Mon Sep 09 07:46:20 GMT 2024","6088","tests","test_checkout","TestCheckout","","","test_register_before_checkout","Test user registration before checkout
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Sep 09 07:46:48 GMT 2024","Mon Sep 09 07:46:50 GMT 2024","1148","tests","test_register_login","TestRegisterAndLogin","","","test_logout","
        Logout user
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 07:46:53 GMT 2024","Mon Sep 09 07:46:53 GMT 2024","498","tests","test_register_login","TestRegisterAndLogin","","","test_register_user_with_existing_email","Test user registration with existing email
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Sep 09 07:46:23 GMT 2024","Mon Sep 09 07:46:24 GMT 2024","838","tests","test_contuct_us","TestContactUs","","","test_contact_us_form","
        Test contact us form
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 07:46:31 GMT 2024","Mon Sep 09 07:46:31 GMT 2024","939","tests","test_products","TestProducts","","","test_product_search","
        Search for product
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 07:46:34 GMT 2024","Mon Sep 09 07:46:38 GMT 2024","3772","tests","test_register_login","TestRegisterAndLogin","","","test_register_user","Test user registration
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Sep 09 07:46:00 GMT 2024","Mon Sep 09 07:46:01 GMT 2024","638","tests","test_cart","TestCart","","","test_product_quantity","
        Add product to cart
        :param test_setup: setting up the browser and page objects
        :return:
        "
"passed","Mon Sep 09 07:47:00 GMT 2024","Mon Sep 09 07:47:00 GMT 2024","333","tests","test_subscription","TestSubscription","","","test_subscription_in_cart_page","
        Test subscription in home page
        :param test_setup: setting up the browser and page objects
        :return:
        "
